carrec,r2013,dieta,dietes,retribucio,total,nom,dept,detalls,naut,danual,column,column2,carrec2
Consell General Institut Català de les Empreses Culturals | Resp. Normativa i Estudis de l'Assesoria Jurídica del Dept de Cultura,2,162,€324.00,,€324.00,"Marin Mohino, Xavier",CU,Assessoria Jurídica Dept Cultura,162,324,,,Resp. Normativa i Estudis de l'Assesoria Jurídica del Dept de Cultura
Comissió Assessora sobre la Publicitat Institucional | President,3,246.11,€738.33,,€738.33,"Marti Blanch, Josep",PR,,246.11,738.33,,,President
| Secretari/ària de Comunicació Del Govern,,,,"€79,651.66","€79,651.66","Marti Blanch, Josep",PR,2014,,,,,Secretari/ària de Comunicació Del Govern
Patronat ESMUC  | Patró,2,120,€240.00,,€240.00,"Martí Garcés,david",EN,,120,240,,,Patró
Consell Escolar Catalunya Ple i Comissions | Membre,8,43.27,€346.16,,€346.16,"Martí Garcia, Joan",EN,,43.27,346.16,,,Membre
Consell Escolar Catalunya Ple i Comissions | Membre,8,43.27,€346.16,,€346.16,"Martíi López, Antonio Luis",EN,,43.27,346.16,,,Membre
| Responsable d'Estratègia,,,,"€56,941.19","€56,941.19","Martin Beltran, Esther",SA,2013,,,,,Responsable d'Estratègia
| Assessora de la Consellera en matèria de polítiques educatives comparades,,,,"€48,003.82","€48,003.82","Martín Figueras, Maria Rosa",EN,2013,,,,,Assessora de la Consellera en matèria de polítiques educatives comparades
Comissió Territorial d’Urbanisme de Terres de l’Ebre | Vocal Associació Catalana de Municipis i Comarques. Ajuntament de Sant Carles de la Ràpita,5,64.91,€324.55,,€324.55,"Martin Masdéu, Joan M.",PO,"Associacio Catalana Municipis64,91",No autoritza publicació,324.55,,,Vocal Associació Catalana de Municipis i Comarques. Ajuntament de Sant Carles de la Ràpita
Com Delimitació Territorial | Vocals titulars,3,43.2,€129.60,,€129.60,"Martin Masdéu, Joan M.",GO,,43.2,129.6,,,Vocals titulars
Memorial Democràtic - Junta de Govern | Membre,2,251.52,€503.04,,€503.04,"Martín Ramos, José Luis",GO,,251.52,503.04,,,Membre
Comissió Territorial d’Urbanisme de la Vall d’Aran | Vocal Conseller del Conselh Generau d’Aran,4,64.91,€259.64,,€259.64,"Martínez Cau, Rufino",PO,,64.91,259.64,,,Vocal Conseller del Conselh Generau d’Aran
Consell General Institut Català de les Empreses Culturals | Representant de la Coordinadora d'Ass. Prof. De Empreses Culturals les Arts Escèniques,2,162,€324.00,,€324.00,"Martínez De Obregón, Daniel",CU,,162,324,,,Representant de la Coordinadora d'Ass. Prof. De Empreses Culturals les Arts Escèniques
Consell Rector Escola d'Administració Pública de Catalunya | Vocal,2,94.66,€189.32,,€189.32,"Martínez Lorente, Joaquim",GO,,94.66,189.32,,,Vocal
| Assessor/a Del/de La Secretari/aria Del Govern,,,,"€56,941.19","€56,941.19","Martinez Martinez, Nuria",PR,2014,,,,,Assessor/a Del/de La Secretari/aria Del Govern
"Infraestructures de la Generalitat de Catalunya, SAU, Consell d’Administració | Vocal",12,627.45,"€7,529.40",,"€7,529.40","Martinez Melgares, Josep",EC,,627.45,7529.4,,,Vocal
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat (CTTI) | Vocal Consell d'Administració (Titular de la SG del Dept d'lT),11,573.3,"€6,306.30",,"€6,306.30","Martinez Melgares, Josep",IU,,573.3,6306.3,,,Vocal Consell d'Administració (Titular de la SG del Dept d'lT)
| Secretari General d'Interior,,,,"€79,651.66","€79,651.66","Martinez Melgares, Josep",IT,2013,,,,,Secretari General d'Interior
"Comissió Territorial d’Urbanisme de la Catalunya Central. Ponència Tècnica | Vocal de lliure designació, amb veu i sense vot Responsable Atenció Primària de Regió Sanitària del  Servei Català de la Salut. Departament de Salut",8,64.91,€519.28,,€519.28,"Martínez Méndez, Roser",PO,,64.91,519.28,,,"Vocal de lliure designació, amb veu i sense vot Responsable Atenció Primària de Regió Sanitària del  Servei Català de la Salut. Departament de Salut"
Comissió Territorial d’Urbanisme de Tarragona. Ponència Tècnica | Vocal Cap de la Secció d’Obres i Manteniment dels Serveis Territorials del Departament d’Ensenyament a Tarragona,8,64.91,€519.28,,€519.28,"Martínez Muñoz, Miquel Àngel",PO,,64.91,519.28,,,Vocal Cap de la Secció d’Obres i Manteniment dels Serveis Territorials del Departament d’Ensenyament a Tarragona
Jurat Expropiació Girona | President,20,270,"€5,400.00",,"€5,400.00",Martínez Quirante Roser,GO,,270,5400,libro amazon,,President
Consell Català de I'FP | Titular,12,37.86,€454.32,,€454.32,"Martinez Riba, Carles",EN,,37.86,454.32,,,Titular
Comissió Directora ICQP | Membre,2,37.86,€75.72,,€75.72,"Martinez Riba, Carles",EN,,37.86,75.72,,,Membre
| Responsable de L'oficina Del/de La Delegat/ada,,,,"€59,931.45","€59,931.45","Martinez Vergel, Juan",PR,2014,,,,,Responsable de L'oficina Del/de La Delegat/ada
Com Delimitació Territorial | Vocals suplents,3,43.2,€129.60,,€129.60,Martínez Vilaseca. Francesc,GO,,Pendent autorització,129.6,,,Vocals suplents
Comitè Executiu de l’Autoritat del Transport Metropolità (ATM) | Vocal (Director General de l’AMTU),5,325.8,"€1,629.00",,"€1,629.00","Martínez-abarca Espelt, Sergi",PO,,325.8,1629,,,Vocal (Director General de l’AMTU)
Comissió de Cooperació Local de Catalunya | Vocals suplents Generalitat,3,37.86,€113.58,,€113.58,"Martorell Font, Marcel.Lí",GO,,37.86,113.58,,,Vocals suplents Generalitat
| Responsable de L'oficina Del/de La Delegat/ada,,,,"€59,931.45","€59,931.45","Martorell Font, Marcel.Lí",PR,2014,,,,,Responsable de L'oficina Del/de La Delegat/ada
Agència de Qualitat i Avaluació Sanitàries de Catalunya Consell ďAdministració | Vocal,5,189.31,€946.55,,€946.55,"Martorell Rodon, Josep Maria",SA,189.31,189.31,946.55,,,Vocal
| Director general de Recerca,,,,"€76,270.38","€76,270.38","Martorell Rodon, Josep Maria",EC,2014,,,,,Director general de Recerca
Institut d’Estadística de Catalunya (Idescat). Consell Català d’Estadística  | Vocal,1,64.91,€64.91,,€64.91,"Martori Cañas, Joan Carles",EC,,64.91,64.91,,,Vocal
Consell Assessor de Ports de la Generalitat | Vocal (President de la Federació de Confraries de Barcelona),3,167.68,€503.04,,€503.04,"Marzoa Notlevsen, Antonio",PO,,167.68,503.04,,,Vocal (President de la Federació de Confraries de Barcelona)
| President de La Generalitat de Catalunya,,,,"€136,834.78","€136,834.78","Mas Gavarro, Artur",PR,2014,,,,,President de La Generalitat de Catalunya
| Cap de I'Oficina de Protocol,,,,"€60,929.26","€60,929.26","Mas Mata, Anna Maria",CU,2014,,,,,Cap de I'Oficina de Protocol
| Conseller del Departament d'Economia i Coneixement,,,,"€103,176.36","€103,176.36","Mas-colell, Andreu",EC,2014,,,,,Conseller del Departament d'Economia i Coneixement
| Conseller,,,,"€103,176.38","€103,176.38","Mascarell Canaida, Ferran",CU,2014,,,,,Conseller
Comissió Territorial d’Urbanisme de Girona | Vocal Alcalde de l’Ajuntament de Vilablareix,8,64.91,€519.28,,€519.28,"Mascort Subiranas, David",PO,,64.91,519.28,,,Vocal Alcalde de l’Ajuntament de Vilablareix
Institut Català d'Energia (ICAEN)  | Membre Consell Administració (Directora ICAEN),5,251.52,"€1,257.60",,"€1,257.60","Masià Ayala, Maite",IU,,251.52,1257.6,,,Membre Consell Administració (Directora ICAEN)
Consorci Administració Oberta de Catalunya - comisio executiva | Membre,6,225,"€1,350.00",,"€1,350.00","Masó Carbó, Meritxell",GO,,225,1350,,,Membre
Consell Rector Escola d'Administració Pública de Catalunya | Vocal,2,94.66,€189.32,,€189.32,"Masó Carbó, Meritxell",GO,,94.66,189.32,,,Vocal
| Secretari/aria d'Administració i Funció Pública,,,,"€79,651.66","€79,651.66","Masó Carbó, Meritxell",GO,2013,,,,,Secretari/aria d'Administració i Funció Pública
Comissió Territorial d’Urbanisme de Lleida | Vocal Regidor de l’Ajuntament de Guissona,8,64.91,€519.28,,€519.28,"Massanès Rosas, Àngel",PO,,64.91,519.28,,,Vocal Regidor de l’Ajuntament de Guissona
Institut Català per la Pau (ICIP) - Junta de Govem | Membre,7,225,"€1,575.00",,"€1,575.00","Mataró Pau, Àngels",GO,,225,1575,,,Membre
Comissió Assessora sobre la Publicitat Institucional | Vocal,3,246.11,€738.33,,€738.33,"Matas Dalmases, Jordi",PR,,246.11,738.33,,,Vocal
Consell Rector Escola d'Administració Pública de Catalunya | Vocal,2,94.66,€189.32,,€189.32,"Matas Dalmases, Jordi",GO,,Pendent autorització,189.32,,,Vocal
"Comissió Territorial d’Urbanisme de Girona. Ponència Tècnica | Vocal de lliure designació, amb veu i sense vot Col·legi d’Aparelladors i Arquitectes Tècnics de Girona",8,64.91,€519.28,,€519.28,"Matas Noguera, Miquel",PO,64.91,No autoritza publicació,519.28,,,"Vocal de lliure designació, amb veu i sense vot Col·legi d’Aparelladors i Arquitectes Tècnics de Girona"
Tribunal Català de Defensa de la Competència  | Vocal,15,180,"€2,700.00",,"€2,700.00","Matas Prat, Ana",EC,,180,2700,,,Vocal
Comissió de Cooperació Local de Catalunya | Vocals titulars Generalitat,3,37.86,€113.58,,€113.58,"Mateo Andrés, Joan",GO,,37.86,113.58,,,Vocals titulars Generalitat
| Secretari de Polítiques Educatives,,,,"€79,651.62","€79,651.62","Mateo Andrés, Joan",EN,2013,,,,,Secretari de Polítiques Educatives
Institut d’Estadística de Catalunya (Idescat). Consell Català d’Estadística  | Vocal,1,64.91,€64.91,,€64.91,"Mateo Sanz, Josep Ma.",EC,,64.91,64.91,,,Vocal
Jurat Expropiació Lleida | Secretari,20,162,"€3,240.00",,"€3,240.00","Mateu Gomis, Ramon",GO,ICF,162,3240,,,Secretari
Consell de Direcció de l’Agència de Residus de Catalunya | Vocal (Director de l’Agència de Salut Pública i Secretari de Salut Pública del Departament de Salut),3,346.18,"€1,038.54",,"€1,038.54","Mateu Serra, Antoni",PO,,346.18,1038.54,,,Vocal (Director de l’Agència de Salut Pública i Secretari de Salut Pública del Departament de Salut)
| Secretari de Salut Pública,,,,"€79,651.66","€79,651.66","Mateu Serra, Antoni",SA,2013,,,,,Secretari de Salut Pública
| Assessor/a En Matèria de Política Empresarial,,,,"€68,746.49","€68,746.49","Mauri Claret, Vicenç",PR,2014,,,,,Assessor/a En Matèria de Política Empresarial
Memorial Democràtic - Junta de Govern | Membre,2,251.52,€503.04,,€503.04,"Mayayo Artal, Andreu",GO,,251.52,503.04,,,Membre
Consell d’Administració de l’Autoritat del Transport Metropolità (ATM) | Vocal (Vicepresident de l’AMTU),5,325.8,"€1,629.00",,"€1,629.00","Mayoral Antiga, Josep",PO,,325.8,1629,,,Vocal (Vicepresident de l’AMTU)
Consell Escolar Catalunya Ple i Comissions | Membre,9,43.27,€389.43,,€389.43,"Mayoral Arqué, M. Dolors",EN,,43.27,389.43,,,Membre
Jurat Expropiació Girona | Vocals titulars,20,108,"€2,160.00",,"€2,160.00","Mayoral Del Barrio, Belen",GO,,108,2160,,,Vocals titulars
Comissió de Política Territorial i Urbanisme de Catalunya | Vocal Alcalde de Les,4,64.91,€259.64,,€259.64,"Medan Ané, Emilio",PO,,64.91,259.64,,,Vocal Alcalde de Les
Comissió Territorial d’Urbanisme de la Vall d’Aran | Vocal Federació de Municipis de Catalunya,4,64.91,€259.64,,€259.64,"Medan Ané, Emilio",PO,,64.91,259.64,,,Vocal Federació de Municipis de Catalunya
Comissió Territorial d’Urbanisme de la Vall d’Aran | Vocal Conseller del Conselh Generau d’Aran,4,64.91,€259.64,,€259.64,"Medina Madroño, Luís Carlos",PO,64.91,No autoritza publicació,259.64,,,Vocal Conseller del Conselh Generau d’Aran
Institut Català de la Salut Comissió Executiva del Consell d'Administració | Secretari,10,378,"€3,780.00",,"€3,780.00","Medina Tejada, Eladi",SA,,378,3780,,,Secretari
Institut Català de la Salut Consell d'Administració | Secretari,5,378,"€1,890.00",,"€1,890.00","Medina Tejada, Eladi",SA,,378,1890,,,Secretari
Consell Escolar Catalunya Ple i Comissions | Membre,17,43.27,€735.59,,€735.59,"Melgarejo Draper, Xavier",EN,,43.27,735.59,,,Membre
Consell Superior d'AvaIuació del Sistema Educatiu | Vocal expert,5,43.27,€216.35,,€216.35,"Melgarejo Draper, Xavier",EN,,43.27,216.35,,,Vocal expert
Consell Rector de l’Institut per al Desenvolupament de les Comarques de l’Ebre (IDECE) | Vocal (Representant del Grup Parlamentari Socialista),2,63.11,€126.22,,€126.22,"Melich Garcia, Lluis",PO,,63.11,126.22,,,Vocal (Representant del Grup Parlamentari Socialista)
| Cap de I'Oficina de la Secretaria del Conseller,,,,"€49,535.87","€49,535.87","Méndez Pérez, Laura",IT,2013,,,,,Cap de I'Oficina de la Secretaria del Conseller
Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona | Vocal  Coordinació Jurídica de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat,8,64.91,€519.28,,€519.28,"Mendoza Carranca, Teresa",PO,64.91,No autoritza publicació,519.28,,,Vocal  Coordinació Jurídica de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat
Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona. Ponència Tècnica | Vocal  Coordinació Jurídica de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat,8,64.91,€519.28,,€519.28,"Mendoza Carranca, Teresa",PO,64.91,No autoritza publicació,519.28,,,Vocal  Coordinació Jurídica de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat
Comissió Territorial d’Urbanisme de Lleida | Vocal Coordinació Jurídica de Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat,8,64.91,€519.28,,€519.28,"Mendoza Carranca, Teresa",PO,64.91,No autoritza publicació,519.28,,,Vocal Coordinació Jurídica de Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat
Comissió Territorial d’Urbanisme de Barcelona. Ponència Tècnica | Vocal  Coordinació Jurídica de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat,8,64.91,€519.28,,€519.28,"Mendoza Carranca, Teresa",PO,64.91,No autoritza publicació,519.28,,,Vocal  Coordinació Jurídica de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat
Comissió de Política Territorial i Urbanisme de Catalunya | Vocal  Coordinació Jurídica de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat,4,64.91,€259.64,,€259.64,"Mendoza Carranca, Teresa",PO,64.91,No autoritza publicació,259.64,,,Vocal  Coordinació Jurídica de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat
Comissió Territorial d’Urbanisme de Girona  | Vocal  Coordinació Jurídica de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat,8,64.91,€519.28,,€519.28,"Mendoza Carranca, Teresa",PO,64.91,No autoritza publicació,519.28,,,Vocal  Coordinació Jurídica de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat
Consell d’Administració de Ferrocarrils de la Generalitat de Catalunya | Conseller/a (Representat sindical d'empresa -UGT),4,386.75,"€1,547.00",,"€1,547.00","Mendoza Conde, Antonio",PO,,386.75,1547,,,Conseller/a (Representat sindical d'empresa -UGT)
| Responsable de L'oficina de L'expresident,,,,"€90,788.38","€90,788.38","Menendez Pablo, Jordi",PR,2014,,,,,Responsable de L'oficina de L'expresident
Comissió Territorial d’Urbanisme de Tarragona. Ponència Tècnica | Vocal Gerent de la Regió Sanitària del Camp de Tarragona del Servei Català de la Salut. Departament de Salut,8,64.91,€519.28,,€519.28,"Mercadé Orriols, Josep",PO,,64.91,519.28,,,Vocal Gerent de la Regió Sanitària del Camp de Tarragona del Servei Català de la Salut. Departament de Salut
Institut d’Estadística de Catalunya (Idescat). Consell Català d’Estadística  | Vocal,1,64.91,€64.91,,€64.91,"Messeguer Artola, Antoni",EC,,64.91,64.91,,,Vocal
| Oficina Del Portaveu Del Govern,,,,"€68,746.49","€68,746.49","Mestres Guell, Rosa Maria",PR,2014,,,,,Oficina Del Portaveu Del Govern
Comissió Territorial d’Urbanisme de la Vall d’Aran | Vocal Director del Serveis Territorials del Departament d’Empresa i Ocupació a Lleida,4,64.91,€259.64,,€259.64,"Miarnau Roca, Octavi",PO,,64.91,259.64,,,Vocal Director del Serveis Territorials del Departament d’Empresa i Ocupació a Lleida
Comissió Territorial d’Urbanisme de Lleida | Vocal Director dels Serveis Territorials del Departament d’Empresa i Ocupació a Lleida,8,64.91,€519.28,,€519.28,"Miarnau Roca, Octavi",PO,,64.91,519.28,,,Vocal Director dels Serveis Territorials del Departament d’Empresa i Ocupació a Lleida
Jurat Expropiació Girona | Vocals suplents,20,108,"€2,160.00",,"€2,160.00","Micalo Congost, Lluïs",GO,,108,2160,,,Vocals suplents
"Comissió Territorial d’Urbanisme de Girona. Ponència Tècnica | Vocal de lliure designació, amb veu i sense vot Cambra de Comerç de Girona",8,64.91,€519.28,,€519.28,"Micalo Congost, Lluïs",PO,64.91,No autoritza publicació,519.28,,,"Vocal de lliure designació, amb veu i sense vot Cambra de Comerç de Girona"
"Infraestructures de la Generalitat de Catalunya, SAU, Consell d’Administració | Vocal",12,627.45,"€7,529.40",,"€7,529.40","Mier Albert, M. Jesús",EC,,627.45,7529.4,,,Vocal
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat (CTTI) | Vocal Consell d'Administracíó (TItular de la SG del Dept d'EN) ,11,573.3,"€6,306.30",,"€6,306.30","Mier Albert, M. Jesús",IU,,573.3,6306.3,,,Vocal Consell d'Administracíó (TItular de la SG del Dept d'EN) 
| Secretària general ďEnsenyament,,,,"€79,651.62","€79,651.62","Mier Albert, M. Jesús",EN,2013,,,,,Secretària general ďEnsenyament
Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona. Ponència Tècnica | Tècnica Arquitecta del Servei Territorial d’Urbanisme de l’Àrea Metropolitana de Barcelona del Departament de Territori i Sostenibilitat,8,64.91,€519.28,,€519.28,"Miguel Rodríguez, Clara",PO,64.91,No autoritza publicació,519.28,,,Tècnica Arquitecta del Servei Territorial d’Urbanisme de l’Àrea Metropolitana de Barcelona del Departament de Territori i Sostenibilitat
Comissió d'assessorament i supervisió de les persones jurídiques sense ànim de lucre que tinguin atribuïda la tutela de menors o incapacitats | Vocal,1,60.54,€60.54,,€60.54,"Millán, Montse",BE,en representació de coordinadora tutelar- Fundació Nostra Senyora dels Àngels,60.54,60.54,,,Vocal
Comissió Territorial d’Urbanisme de Terres de l’Ebre. Ponència Tècnica | Vocal Cap del Servei Territorial de Mobilitat de les Terres de l’Ebre del Departament de Territori i Sostenibilitat,5,64.91,€324.55,,€324.55,"Mingote Vilamajó, Carlos",PO,,64.91,324.55,,,Vocal Cap del Servei Territorial de Mobilitat de les Terres de l’Ebre del Departament de Territori i Sostenibilitat
Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona. Ponència Tècnica | Vocal Cap del Servei de Gestió de Construccions Escolars de la Direcció General de Centres Públics del Departament d’Ensenyament,8,64.91,€519.28,,€519.28,"Mínguez Masó, Mª Teresa",PO,64.91,No autoritza publicació,519.28,,,Vocal Cap del Servei de Gestió de Construccions Escolars de la Direcció General de Centres Públics del Departament d’Ensenyament
Comissió Territorial d’Urbanisme de la Catalunya Central | Vocal titular Directora dels Serveis Territorials d’Empresa i Ocupació a la Catalunya Central,8,64.91,€519.28,,€519.28,"Minoves Corominas, Bàrbara",PO,,64.91,519.28,,,Vocal titular Directora dels Serveis Territorials d’Empresa i Ocupació a la Catalunya Central
Comissió de Política Territorial i Urbanisme de Catalunya | Vocal Consell dels Il·lustres Col·legis d’Advocats de Catalunya,4,64.91,€259.64,,€259.64,"Miquel Roé, Simeó",PO,,64.91,259.64,,,Vocal Consell dels Il·lustres Col·legis d’Advocats de Catalunya
Comissió Territorial d’Urbanisme de Lleida. Ponència Tècnica | Vocal Col·legi d’Advocats de Lleida,8,64.91,€519.28,,€519.28,"Miquel Roé, Simeó",PO,,64.91,519.28,,,Vocal Col·legi d’Advocats de Lleida
Comissió Territorial d’Urbanisme de Tarragona | Vocal Regidor de l’Ajuntament de Riudoms,8,64.91,€519.28,,€519.28,"Mir Arner, José Vicente",PO,,64.91,519.28,,,Vocal Regidor de l’Ajuntament de Riudoms
Memorial Democràtic - Consell Assessor | Membre,2,251.52,€503.04,,€503.04,"Mir Curcó, Conxita",GO,,251.52,503.04,,,Membre
Comissió Territorial d’Urbanisme de Lleida | Vocal Alcalde de l’Ajuntament de Les Borges Blanques,8,64.91,€519.28,,€519.28,"Mir Pifarré, Enric",PO,,64.91,519.28,,,Vocal Alcalde de l’Ajuntament de Les Borges Blanques
Comissió Territorial d’Urbanisme de Terres de l’Ebre | Vocal  Directora dels Serveis Territorials del Departament d’Empresa i Ocupació a les Terres de l’Ebre,5,64.91,€324.55,,€324.55,"Miralles Guerrero, Mercè",PO,64.91,No autoritza publicació,324.55,,,Vocal  Directora dels Serveis Territorials del Departament d’Empresa i Ocupació a les Terres de l’Ebre
Junta de Govern de la Institució de les Lletres Catalanes | Vocal en repr. del Consell Assessor de la ILC,6,59.5,€357.00,,€357.00,"Miralles Solà, Carles",CU,,59.5,357,,,Vocal en repr. del Consell Assessor de la ILC
Consell Assessor de la Institució de les Lletres Catalanes | Vocal en repr. del Consell Assessor de la ILC,2,59.5,€119.00,,€119.00,"Miralles Solà, Carles",CU,,59.5,119,,,Vocal en repr. del Consell Assessor de la ILC
"Institut Català de Finances, Junta de Govern | Vocal",11,540.9,"€5,949.90",,"€5,949.90","Miralpeix Casas, Josep",EC,,540.9,5949.9,,,Vocal
"Instruments Financers per a Empreses Innovadores, SL (IFEM). Consell d’Administració | Vocal",6,360,"€2,160.00",,"€2,160.00","Miralpeix Casas, Josep",EC,,360,2160,,,Vocal
Comissió de Govern local de Catalunya | Vocals,8,48.68,€389.44,,€389.44,"Miralpeix Casas, Josep",GO,,48.68,389.44,,,Vocals
| Director general de Pressupostos,,,,"€76,270.38","€76,270.38","Miralpeix Casas, Josep",EC,2014,,,,,Director general de Pressupostos
Institut d’Estadística de Catalunya (Idescat). Consell Català d’Estadística  | Vocal,1,64.91,€64.91,,€64.91,"Miranda Canals, Jaume",EC,,64.91,64.91,,,Vocal
Com. Delimitació Temtonal | Vocals titulars,3,43.2,€129.60,,€129.60,"Miranda Canals, Jaume",GO,,Pendent autorització,129.6,,,Vocals titulars
Jurat Expr Terres de l'Ebre | Vocals titulars,8,108,€864.00,,€864.00,"Miranda Estrampes, Xavier",GO,,108,864,,,Vocals titulars
Comissió Territorial d’Urbanisme de la Vall d’Aran | Vocal Directora del Serveis Territorials del Departament d’Interior a Lleida,4,64.91,€259.64,,€259.64,"Miranda Torres, Anna",PO,,64.91,259.64,,,Vocal Directora del Serveis Territorials del Departament d’Interior a Lleida
Comissió Territorial d’Urbanisme de Lleida | Vocal Directora dels Serveis Territorials del Departament d’Interior a Lleida,8,64.91,€519.28,,€519.28,"Miranda Torres, Anna",PO,,64.91,519.28,,,Vocal Directora dels Serveis Territorials del Departament d’Interior a Lleida
Consell Rector de l’Institut per al Desenvolupament de les Comarques de l’Ebre (IDECE) | Vocal (Secretari General a les Terres de l’Ebre d’UGT),2,63.11,€126.22,,€126.22,"Miró Baiges, Wifredo _x000c_",PO,,63.11,126.22,,,Vocal (Secretari General a les Terres de l’Ebre d’UGT)
Comissió Territorial d’Urbanisme de Barcelona. Ponència Tècnica | Vocal Col·legi d’Advocats de Barcelona,8,64.91,€519.28,,€519.28,"Miró Fruns, Jordi",PO,,64.91,519.28,,,Vocal Col·legi d’Advocats de Barcelona
Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona. Ponència Tècnica | Vocal Col·legi d’Advocats de Barcelona,8,64.91,€519.28,,€519.28,"Miró Fruns, Jordi",PO,,64.91,519.28,,,Vocal Col·legi d’Advocats de Barcelona
| Director General de Relacions Laborals Qualitat en el Treball,,,,"€76,270.35","€76,270.35","Miró Meix, Jordí",IU,2014,,,,,Director General de Relacions Laborals Qualitat en el Treball
Comissió de Cooperació Local de Catalunya | Vocals titulars Adm. Locals,3,37.86,€113.58,,€113.58,"Miró Melic, Francesc Josep",GO,,37.86,113.58,***,,Vocals titulars Adm. Locals
Comissió Territorial d’Urbanisme de Terres de l’Ebre | Vocal Federació de Municipis de Catalunya. Ajuntament del Godall,5,64.91,€324.55,,€324.55,"Miró Melich, Francesc",PO,,64.91,324.55,***,,Vocal Federació de Municipis de Catalunya. Ajuntament del Godall
Consell d'Administració CAR | Vocal,8,251.52,"€2,012.16",,"€2,012.16","Miró Pujadas, Alejandro",PR,,251.52,2012.16,,,Vocal
Consell Assessor de RTVE a Catalunya | Vocal,23,221.77,"€5,100.71",,"€5,100.71","Mis Cabeza, Ima",PR,,221.77,5100.71,,,Vocal
"Junta de Finances  | Secretària (Sala 1, Sala 2 i Ple)",48,157.5,"€7,560.00",,"€7,560.00","Mitjans Prunera, Maria Brugués",EC,,157.5,7560,,,"Secretària (Sala 1, Sala 2 i Ple)"
Comissió Territorial d’Urbanisme de Barcelona | Vocal Directora dels Serveis Territorials de Governació i Relacions Institucionals a Barcelona,8,64.91,€519.28,,€519.28,"Mochales Callado, Anna _x000c_",PO,64.91,No autoritza publicació,519.28,,,Vocal Directora dels Serveis Territorials de Governació i Relacions Institucionals a Barcelona
Consell Rector de l’Institut per al Desenvolupament de les Comarques de l’Ebre (IDECE) | Vocal (Representant del Grup Parlamentari ICV-EUA),2,63.11,€126.22,,€126.22,"Moisés Reverté, Joan",PO,,63.11,126.22,,,Vocal (Representant del Grup Parlamentari ICV-EUA)
Consell d’Administració del Servei Meteorològic de Catalunya | Vocal (Representant de Televisió de Catalunya),2,216,€432.00,,€432.00,"Molina Bosch, Tomàs",PO,,216,432,,,Vocal (Representant de Televisió de Catalunya)
Comissió Territorial d’Urbanisme de Terres de l’Ebre. Ponència Tècnica | Vocal Tècnic de Projectes i Obres Administració General de l’Estat,5,64.91,€324.55,,€324.55,"Molina Collell, Blas",PO,64.91,No autoritza publicació,324.55,,,Vocal Tècnic de Projectes i Obres Administració General de l’Estat
Consell Assessor de Ports de la Generalitat | Vocal (President de la Federació de Confraries de Tarragona),3,167.68,€503.04,,€503.04,"Molina Navarro, Josep",PO,,167.68,503.04,,,Vocal (President de la Federació de Confraries de Tarragona)
Comissió de Cooperació Local de Catalunya | Vocals suplents Adm. Locals,3,37.86,€113.58,,€113.58,Moliner Serra. Ramon,GO,,37.86,113.58,,,Vocals suplents Adm. Locals
Patronat ESMUC  | Patró,2,0,€0.00,,€0.00,"Molins Amat, Joaquim",EN,,Renúncia,0,,,Patró
| Director general d'Agricultura i Ramaderia,,,,"€76,270.35","€76,270.35","Molins Elizalde, Miguel José",AG,2013,,,,,Director general d'Agricultura i Ramaderia
"Consell de Direcció de l’Agència de Residus de Catalunya | Vocal (Director General d’Agricultura i Ramaderia del Departament d’Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural)",3,346.18,"€1,038.54",,"€1,038.54","Molins Elizalde, Miquel",PO,,346.18,1038.54,,,"Vocal (Director General d’Agricultura i Ramaderia del Departament d’Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural)"
"Consell d’Administració del Servei Meteorològic de Catalunya | Vocal (Director General d’Agricultura i Ramaderia del Departament d’Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural)",2,216,€432.00,,€432.00,"Molins Elizalde, Miquel",PO,,216,432,,,"Vocal (Director General d’Agricultura i Ramaderia del Departament d’Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural)"
